Date,Equity
2024-09-04,100000.0
2024-09-05,100000.0
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,100000.0
2024-09-12,100000.0
2024-09-13,100000.0
2024-09-16,100000.0
2024-09-17,100000.0
2024-09-18,100000.0
2024-09-19,100000.0
2024-09-20,100000.0
2024-09-23,100000.0
2024-09-24,100000.0
2024-09-25,100000.0
2024-09-26,100000.0
2024-09-27,100000.0
2024-09-30,100000.0
2024-10-01,100000.0
2024-10-02,100000.0
2024-10-03,100000.0
2024-10-04,100000.0
2024-10-07,100000.0
2024-10-08,100000.0
2024-10-09,100000.0
2024-10-10,100000.0
2024-10-11,100000.0
2024-10-14,100000.0
2024-10-15,100000.0
2024-10-16,100000.0
2024-10-17,100000.0
2024-10-18,99805.82524271843
2024-10-21,100194.17475728155
2024-10-22,105436.89320388349
2024-10-23,108543.68932038834
2024-10-24,106504.85436893204
2024-10-25,108932.03883495145
2024-10-28,109466.01941747572
2024-10-29,108495.14563106795
2024-10-30,107524.2718446602
2024-10-31,107572.81553398058
2024-11-01,109368.93203883496
2024-11-04,110679.61165048543
2024-11-05,111165.04854368932
2024-11-06,110291.26213592231
2024-11-07,108737.8640776699
2024-11-08,108786.40776699028
2024-11-11,108495.14563106795
2024-11-12,107718.44660194175
2024-11-13,107281.55339805824
2024-11-14,107669.90291262136
2024-11-15,108252.42718446601
2024-11-18,108834.95145631066
2024-11-19,107766.99029126213
2024-11-20,106747.57281553397
2024-11-21,106747.57281553397
2024-11-22,106747.57281553397
2024-11-25,106747.57281553397
2024-11-26,106505.84371042633
2024-11-27,108246.29326720134
2024-11-28,109648.32207682566
2024-11-29,109454.93879273954
2024-12-02,111678.84655972983
2024-12-03,113370.95029548332
2024-12-04,112839.1462642465
2024-12-05,114096.13761080622
2024-12-06,112984.18372731109
2024-12-09,112549.07133811734
2024-12-10,112645.76298016039
2024-12-11,111050.35088644996
2024-12-12,110180.12610806247
2024-12-13,110228.47192908399
2024-12-16,109551.6304347826
2024-12-17,109551.6304347826
2024-12-18,109551.6304347826
2024-12-19,109551.6304347826
2024-12-20,109551.6304347826
2024-12-23,109551.6304347826
2024-12-27,109551.6304347826
2024-12-30,110032.12004195269
2025-01-02,111665.78470633103
2025-01-03,113107.25352784133
2025-01-07,113107.25352784133
2025-01-08,112963.10664569029
2025-01-09,113155.30248855833
2025-01-10,113443.59625286038
2025-01-13,114308.47754576657
2025-01-14,115317.50572082378
2025-01-15,116182.38701372997
2025-01-16,116038.24013157893
2025-01-17,116758.97454233408
2025-01-20,116278.48493516397
2025-01-21,117431.65999237222
2025-01-22,118152.39440312737
2025-01-23,120074.35283180776
2025-01-24,118536.78608886343
2025-01-27,118873.12881388252
2025-01-28,118488.73712814643
2025-01-29,119497.76530320363
2025-01-30,119017.27569603354
2025-01-31,116278.48493516397
2025-02-03,117047.26830663614
2025-02-04,120410.69555682683
2025-02-05,119593.86322463767
2025-02-06,120122.40179252478
2025-02-07,120987.28308543096
2025-02-10,121179.47892829898
2025-02-11,123293.63319984743
2025-02-12,123293.63319984743
2025-02-13,124062.41657131958
2025-02-14,125167.5426678108
2025-02-17,126897.30525362318
2025-02-18,126801.20733218914
2025-02-19,125936.32603928298
2025-02-20,126368.76668573606
2025-02-21,129876.34081807779
2025-02-24,129395.85121090768
2025-02-25,130068.53666094581
2025-02-26,131269.76067887107
2025-02-27,131269.76067887107
2025-02-28,131269.76067887107
2025-03-03,131269.76067887107
2025-03-04,131269.76067887107
2025-03-05,131269.76067887107
2025-03-06,130443.247370893
2025-03-07,131269.76067887107
2025-03-10,130151.53679160662
2025-03-11,129179.16819398534
2025-03-12,127477.52314814813
2025-03-13,127477.52314814813
2025-03-14,127477.52314814813
2025-03-17,126952.1380770992
2025-03-18,127190.94947303055
2025-03-19,127286.47403140306
2025-03-20,126522.27756442278
2025-03-21,126856.61351872668
2025-03-24,126856.61351872668
2025-03-25,126856.61351872668
2025-03-26,109422.68786196312
2025-03-27,108713.99169705404
2025-03-28,108713.99169705404
2025-03-31,108713.99169705404
2025-04-01,108713.99169705404
2025-04-02,108713.99169705404
2025-04-03,108713.99169705404
2025-04-04,108713.99169705404
2025-04-07,108713.99169705404
2025-04-08,108713.99169705404
2025-04-09,108713.99169705404
2025-04-10,108713.99169705404
