Date,Equity
2024-09-04,100000.0
2024-09-05,100000.0
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,100000.0
2024-09-12,100000.0
2024-09-13,100000.0
2024-09-16,100000.0
2024-09-17,100000.0
2024-09-18,100000.0
2024-09-19,100000.0
2024-09-20,99014.77832512317
2024-09-23,100075.78628268285
2024-09-24,100795.75596816977
2024-09-25,102084.12277377796
2024-09-26,103410.38272072755
2024-09-27,102690.41303524064
2024-09-30,101932.55020841229
2024-10-01,100947.32853353543
2024-10-02,101743.0845017052
2024-10-03,100871.54225085261
2024-10-04,103827.20727548315
2024-10-07,102387.2679045093
2024-10-08,102349.37476316789
2024-10-09,102690.41303524064
2024-10-10,101553.61879499812
2024-10-11,101364.15308829103
2024-10-14,101932.55020841229
2024-10-15,100454.71769609702
2024-10-16,101402.04622963245
2024-10-17,97688.51837817357
2024-10-18,97688.51837817357
2024-10-21,97473.81833778197
2024-10-22,96114.05141530192
2024-10-23,96937.068236803
2024-10-24,96292.96811562823
2024-10-25,99620.81874169788
2024-10-28,100193.35218274212
2024-10-29,99835.51878208946
2024-10-30,98583.1018798052
2024-10-31,99477.68538143682
2024-11-01,98511.53519967466
2024-11-04,98404.18517947887
2024-11-05,100014.43548241579
2024-11-06,99620.81874169788
2024-11-07,103986.38622966022
2024-11-08,102197.21922639696
2024-11-11,100372.26888306845
2024-11-12,98833.58526026204
2024-11-13,98189.48513908726
2024-11-14,98189.48513908726
2024-11-15,98189.48513908726
2024-11-18,98189.48513908726
2024-11-19,98189.48513908726
2024-11-20,98189.48513908726
2024-11-21,98189.48513908726
2024-11-22,98189.48513908726
2024-11-25,98189.48513908726
2024-11-26,98189.48513908726
2024-11-27,98189.48513908726
2024-11-28,98189.48513908726
2024-11-29,97611.26218648316
2024-12-02,100177.12653866393
2024-12-03,102273.18474185387
2024-12-04,102923.68556353351
2024-12-05,103791.01999243969
2024-12-06,104080.13146874175
2024-12-09,103465.76958159987
2024-12-10,102706.85195630696
2024-12-11,102742.99089084473
2024-12-12,102128.62900370285
2024-12-13,100936.04416395685
2024-12-16,99092.9585025312
2024-12-17,99092.9585025312
2024-12-18,99092.9585025312
2024-12-19,99092.9585025312
2024-12-20,99092.9585025312
2024-12-23,99092.9585025312
2024-12-27,99092.9585025312
2024-12-30,99092.9585025312
2025-01-02,99092.9585025312
2025-01-03,99092.9585025312
2025-01-07,99092.9585025312
2025-01-08,100211.46808703948
2025-01-09,99617.25987026945
2025-01-10,97380.24070125289
2025-01-13,97869.58864447525
2025-01-14,97100.61330512581
2025-01-15,99617.25987026945
2025-01-16,98918.19137995176
2025-01-17,100980.44342638891
2025-01-20,100386.2352096189
2025-01-21,101050.3502754207
2025-01-22,100805.6763038095
2025-01-23,102029.04616186544
2025-01-24,101679.5119167066
2025-01-27,102063.99958638134
2025-01-28,102763.06807669901
2025-01-29,108705.1502443993
2025-01-30,109788.7064043917
2025-01-31,104301.0187553979
2025-02-03,107656.54750892277
2025-02-04,106642.89819796215
2025-02-05,107237.10641473217
2025-02-06,108530.38312181988
2025-02-07,109019.73106504224
2025-02-10,109264.40503665345
2025-02-11,110802.35571535234
2025-02-12,111501.42420567002
2025-02-13,113773.39679920248
2025-02-14,114332.65159145663
2025-02-17,115835.64884563963
2025-02-18,117233.785826275
2025-02-19,114926.85980822665
2025-02-20,115346.30090241726
2025-02-21,116010.41596821905
2025-02-24,114891.90638371077
2025-02-25,119820.33924045041
2025-02-26,119435.85157077569
2025-02-27,117093.97212821146
2025-02-28,116744.43788305263
2025-03-03,116290.04336434613
2025-03-04,113214.14200694833
2025-03-05,113214.14200694833
2025-03-06,113214.14200694833
2025-03-07,113659.4623839802
2025-03-10,112117.96877117758
2025-03-11,108144.34079150857
2025-03-12,108144.34079150857
2025-03-13,108144.34079150857
2025-03-14,108144.34079150857
2025-03-17,108144.34079150857
2025-03-18,108144.34079150857
2025-03-19,108144.34079150857
2025-03-20,108144.34079150857
2025-03-21,108144.34079150857
2025-03-24,108144.34079150857
2025-03-25,108144.34079150857
2025-03-26,108144.34079150857
2025-03-27,108144.34079150857
2025-03-28,108144.34079150857
2025-03-31,108144.34079150857
2025-04-01,108144.34079150857
2025-04-02,108144.34079150857
2025-04-03,108144.34079150857
2025-04-04,108144.34079150857
