Ticker,Strategy,Start,End,breakout_lookback,exit_lookback,use_trend_filter,trend_ma_window,atr_period,use_atr_momentum,atr_momentum_mult,breakeven_atr_mult,stop_loss_pct,take_profit_pct,trailing_stop_pct,cooldown_days_after_sl,risk_per_trade_pct,Trades,WinRate,PF,AvgRet,TotalReturn,CAGR,MaxDD,SharpeD,YoY_min,YoY_max,YoY_mean,YoY_neg_years
SAAB B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.1,0.12,0.1,14,0.5,40,0.4,1.4131070295555546,0.013533228178243487,0.02289911456065785,0.0029621275201154873,-0.022538333882817563,0.3206270348642715,-0.007814447364050792,0.012668359118393813,0.0037009027907942216,3
SAAB B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.5,0.0,0.08,0.12,,14,0.5,35,0.45714285714285713,1.3389440525717273,0.014465812891146358,0.026854114686885255,0.0034678797189531263,-0.035102276884502626,0.3018535521290765,-0.007167577406215098,0.021651555264489364,0.005843816840014623,3
SAAB B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.1,0.12,,0,0.5,39,0.41025641025641024,1.339587670339118,0.013818400123804114,0.022762991768229934,0.002944690349478307,-0.031291726541760156,0.2885173840149343,-0.007814447364050903,0.01519028482352236,0.0048566164033610705,3
SAAB B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.8,1.0,0.06,0.2,,14,0.5,33,0.3939393939393939,1.3946942614537483,0.012189450951223433,0.027286118059288045,0.0035230202279898926,-0.02451431330216791,0.2814097686967497,-0.009402355973373466,0.01638689517091274,0.004607144249844082,3
SAAB B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.5,1.0,0.06,0.2,0.1,14,0.5,35,0.4,1.4247170248368572,0.012015839994469353,0.02856532067473383,0.0036861783197468245,-0.028695801962183687,0.28029443591423364,-0.009537350438698522,0.019028406227165506,0.004797132423139077,3
SAAB B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.5,0.0,0.08,0.12,0.1,14,0.5,36,0.4444444444444444,1.3269845638211049,0.01205009595577841,0.022218666433854617,0.002874942739227837,-0.025262119705037667,0.2731280187650551,-0.007167577406214876,0.017369459419283473,0.003724309457842523,3
SAAB B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,1.0,0.06,0.2,,14,0.5,36,0.3888888888888889,1.3537775592685584,0.011211679955990223,0.026824006223715946,0.003464035950972999,-0.024514313302167468,0.2694946057958772,-0.008862989547693045,0.01638689517091274,0.004546307742930443,3
SAAB B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,1.0,0.06,0.2,0.1,14,0.5,39,0.38461538461538464,1.3173103322994424,0.009670121108104278,0.024097875041275252,0.003115600290014786,-0.028727081168821056,0.2311014005283716,-0.013100451410433256,0.015601345378672526,0.004172625129162896,3
SAAB B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.08,0.12,0.1,14,0.5,38,0.39473684210526316,1.232992561585788,0.00969275875792839,0.01770139131769599,0.002294868523631255,-0.03281468116364328,0.22147414917030256,-0.014554257894143552,0.017369459419283695,0.0031048903798391236,3
SAAB B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.3,0.0,0.1,0.2,0.1,0,0.5,33,0.3939393939393939,1.3412740975199648,0.01132382727311034,0.015088681426111528,0.001958341616275172,-0.01948654739498923,0.21015214961544665,-0.0057337793208367405,0.009659649026663386,0.002485066180861243,3
