Ticker,Strategy,Start,End,breakout_lookback,exit_lookback,use_trend_filter,trend_ma_window,atr_period,use_atr_momentum,atr_momentum_mult,breakeven_atr_mult,stop_loss_pct,take_profit_pct,trailing_stop_pct,cooldown_days_after_sl,risk_per_trade_pct,Trades,WinRate,PF,AvgRet,TotalReturn,CAGR,MaxDD,SharpeD,YoY_min,YoY_max,YoY_mean,YoY_neg_years
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.1,0.15,,0,0.5,33,0.36363636363636365,1.0236970280752515,0.0016516044977536366,-0.0007468232827008148,-9.759491492244976e-05,-0.017407296798255034,-0.009986240664410473,-0.005403243631394106,0.007793559687760743,0.0005839714451788547,3
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.08,0.2,,14,0.5,32,0.375,0.9676295674396131,0.0004560229426964872,-0.003286625278055122,-0.0004299716102029727,-0.026332521527840824,-0.04434081073391558,-0.006752139770491938,0.009743834459112977,0.0003953822499499652,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.08,0.15,,14,0.5,34,0.35294117647058826,0.9697350749823783,0.00050104912457556,-0.0033934915093868367,-0.0004439730271422748,-0.026332521527840824,-0.046132385546291364,-0.006752139770491938,0.009743834459112755,0.0003804301732216623,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.08,0.2,0.1,0,0.5,32,0.375,0.8701255746158382,-0.0018084698109267008,-0.007797552977201749,-0.0010221234344420793,-0.030739148056378562,-0.11373772169157828,-0.009122941138719476,0.009743834459113199,-0.00024817517621245067,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.08,0.2,0.1,14,0.5,32,0.375,0.8701255746158382,-0.0018084698109267008,-0.007797552977201749,-0.0010221234344420793,-0.030739148056378562,-0.11373772169157828,-0.009122941138719476,0.009743834459113199,-0.00024817517621245067,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.08,0.12,0.1,0,0.5,35,0.37142857142857144,0.8443003093563103,-0.0021634395646903796,-0.009252844375914338,-0.0012136596515195386,-0.030739148056378562,-0.13668630871525986,-0.009122941138719476,0.009576403853146287,-0.0004587160941873344,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.1,0.12,,0,0.5,32,0.375,0.8117605809647604,-0.003137593515517307,-0.00830240671211302,-0.0010885413953504175,-0.01987638908521905,-0.15148113254705872,-0.007902500110489541,0.006694615622303113,-0.0005008905312315427,3
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.2,0.06,0,0.5,35,0.37142857142857144,0.8435574985397438,-0.0024171876794647834,-0.01316724593076335,-0.0017300647336161434,-0.0326023777684471,-0.15249818841141205,-0.010127128830105248,0.010277660499426355,-0.0009046178203534801,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.08,0.2,0.06,14,0.5,35,0.37142857142857144,0.8454176239181912,-0.0024171876794647834,-0.009821757812814469,-0.0012886029307129787,-0.02453457708733997,-0.15265572585099493,-0.007600326405363345,0.007712031651792017,-0.000672108862974736,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.1,0.2,0.06,14,0.5,35,0.37142857142857144,0.8465331205033507,-0.0024171876794647834,-0.007831422779991382,-0.0010265783861639344,-0.01966750821291907,-0.15275022558977933,-0.006082651046376619,0.006171435782893475,-0.0005346319926995731,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.2,0.08,14,0.5,33,0.36363636363636365,0.8189686741335428,-0.00304011778383588,-0.014132393615220007,-0.0018576648959226505,-0.040989606781963506,-0.15723694671988106,-0.012153059425167978,0.012995955492206557,-0.0008398223669443063,3
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.1,0.2,0.08,0,0.5,33,0.36363636363636365,0.821095469773052,-0.003072033632391407,-0.00846545073483751,-0.0011099975539130558,-0.024659519905154914,-0.15861486878066433,-0.007302264322117447,0.007793559687760965,-0.0005238213413900152,3
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.2,0.1,14,0.5,33,0.36363636363636365,0.8072381531217819,-0.0033775437678135846,-0.015048356476397573,-0.001978862913865509,-0.040989606781963506,-0.16779496332618485,-0.012153059425167978,0.012995955492206557,-0.0009726937713618085,3
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.15,,0,0.5,35,0.34285714285714286,0.8185248603600036,-0.0030460404745647164,-0.014995537784971535,-0.0019718714091089273,-0.04079689875041004,-0.1678510951178751,-0.012153059425168089,0.012995955492206779,-0.0009934872176308015,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.15,0.1,0,0.5,35,0.34285714285714286,0.8185248603600036,-0.0030460404745647164,-0.014995537784971535,-0.0019718714091089273,-0.04079689875041004,-0.1678510951178751,-0.012153059425168089,0.012995955492206779,-0.0009934872176308015,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.15,,14,0.5,35,0.34285714285714286,0.816073570372922,-0.003114743093387625,-0.01519342942099522,-0.001998067607185572,-0.040989606781963506,-0.17017771142963622,-0.012153059425167978,0.012995955492206779,-0.0009934872176308649,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.15,0.1,14,0.5,35,0.34285714285714286,0.816073570372922,-0.003114743093387625,-0.01519342942099522,-0.001998067607185572,-0.040989606781963506,-0.17017771142963622,-0.012153059425167978,0.012995955492206779,-0.0009934872176308649,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.12,0.06,0,0.5,37,0.3783783783783784,0.8127726798020739,-0.0028517888594051573,-0.015151670984314136,-0.0019925393914256295,-0.0326023777684471,-0.17712781848686382,-0.010127128830105248,0.010055659772642889,-0.0011928952594268802,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.12,0.06,14,0.5,37,0.3783783783783784,0.8127726798020739,-0.0028517888594051573,-0.015151670984314136,-0.0019925393914256295,-0.0326023777684471,-0.17712781848686382,-0.010127128830105248,0.010055659772642889,-0.0011928952594268802,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.1,0.12,0.06,0,0.5,37,0.3783783783783784,0.8155042176185541,-0.0028517888594051573,-0.009043524964803651,-0.0011860953052779122,-0.01966750821291907,-0.17765858990512112,-0.006082651046376619,0.006037476288856203,-0.000709525695679915,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.12,0.08,0,0.5,36,0.3611111111111111,0.7979858300749065,-0.003215795722841421,-0.015852872475794144,-0.0020853954034650846,-0.04079689875041004,-0.17827354647898885,-0.012153059425168089,0.01277335744105601,-0.001118797054989819,3
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.08,0.12,0.08,0,0.5,36,0.3611111111111111,0.7963620374771503,-0.0033118461300951476,-0.012064194814397466,-0.0015843654316162192,-0.030739148056378562,-0.1819482778242276,-0.009122941138719476,0.009576403853146287,-0.0008671696226038504,3
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.1,0.12,0.08,0,0.5,36,0.3611111111111111,0.7975088851895735,-0.0033118461300951476,-0.00963247228802011,-0.0012636640901557694,-0.024659519905154914,-0.18215358795205916,-0.007302264322117447,0.007659384227646893,-0.0006923160716203627,3
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.1,0.12,,0,0.5,30,0.36666666666666664,0.743174112722732,-0.00471273953599318,-0.0101235265472841,-0.0013283702871202951,-0.017868757211749742,-0.18984576732868125,-0.00837092515806892,0.0043946674872530345,-0.0011353386689670261,3
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.12,0.1,14,0.5,36,0.3611111111111111,0.7842683164155876,-0.003591897087565477,-0.016964772545865703,-0.0022327558073832465,-0.040989606781963506,-0.19121258422695708,-0.012153059425167978,0.012773357441056232,-0.0012515824814585924,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.12,,14,0.5,36,0.3611111111111111,0.7842683164155876,-0.003591897087565477,-0.016964772545865703,-0.0022327558073832465,-0.040989606781963506,-0.19121258422695708,-0.012153059425167978,0.012773357441056232,-0.0012515824814585924,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.1,0.12,0.1,0,0.5,35,0.37142857142857144,0.7735108843899853,-0.004113300288924363,-0.010776272821878763,-0.001414425848873413,-0.024659519905154914,-0.19857142496202604,-0.007302264322117447,0.007659384227646893,-0.0008542758157930042,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.08,0.15,,0,0.5,33,0.30303030303030304,0.7348560403371273,-0.004566673779998365,-0.013606203305846165,-0.0017880849155541556,-0.030531564861093652,-0.2050727372881895,-0.009871380284031672,0.008369575740733604,-0.0010911579160975643,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.08,0.15,,0,0.5,31,0.2903225806451613,0.6604217968757443,-0.006183207365264117,-0.015867190969695022,-0.0020872921170203007,-0.029972994709701828,-0.2458597198924911,-0.010456193314867246,0.005493095207899756,-0.001883073875740937,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.08,0.2,,14,0.5,30,0.3,0.6557279094211058,-0.006617565056545921,-0.01617997450816533,-0.0021287312872992903,-0.029972994709701828,-0.25116463070270134,-0.010456193314867246,0.005493095207899756,-0.001928545217365423,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.08,0.2,,0,0.5,30,0.3,0.6557279094211058,-0.006617565056545921,-0.01617997450816533,-0.0021287312872992903,-0.029972994709701828,-0.25116463070270134,-0.010456193314867246,0.005493095207899756,-0.001928545217365423,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.08,0.12,,0,0.5,31,0.3225806451612903,0.6321886824923348,-0.006376834654644148,-0.016210464041918615,-0.002132771310013881,-0.029972994709701828,-0.25150384907063716,-0.010456193314867246,0.005493095207899534,-0.0019329284722418175,4
VOLV B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.08,0.2,0.1,14,0.5,32,0.3125,0.6697901902471666,-0.0068863084857296655,-0.017788486733961606,-0.0023420163262630744,-0.034919187349591985,-0.2754832769516801,-0.01028806646674385,0.00836957574073316,-0.001693137614416838,4
