Date,Equity
2019-01-02,100000.0
2019-01-03,100000.0
2019-01-04,100000.0
2019-01-07,100000.0
2019-01-08,100000.0
2019-01-09,100000.0
2019-01-10,100000.0
2019-01-11,100000.0
2019-01-14,100000.0
2019-01-15,100000.0
2019-01-16,100000.0
2019-01-17,100000.0
2019-01-18,100000.0
2019-01-21,100000.0
2019-01-22,100000.0
2019-01-23,100000.0
2019-01-24,100000.0
2019-01-25,100000.0
2019-01-28,100000.0
2019-01-29,100000.0
2019-01-30,100000.0
2019-01-31,99956.12000000001
2019-02-01,100108.80000000002
2019-02-04,100207.13500000001
2019-02-05,100728.07
2019-02-06,100921.80500000001
2019-02-07,100580.5
2019-02-08,100513.06000000001
2019-02-11,100605.73000000001
2019-02-12,100753.96
2019-02-13,100752.49500000001
2019-02-14,100787.07500000001
2019-02-15,101309.66500000001
2019-02-18,101245.99
2019-02-19,101326.47000000002
2019-02-20,101530.56500000002
2019-02-21,101434.91500000001
2019-02-22,101581.16500000001
2019-02-25,101567.06500000002
2019-02-26,101479.71500000001
2019-02-27,101246.34000000001
2019-02-28,101194.59000000001
2019-03-01,101367.84000000001
2019-03-04,101669.04000000001
2019-03-05,101578.94000000002
2019-03-06,101246.71500000001
2019-03-07,100989.49000000002
2019-03-08,101043.14000000001
2019-03-11,101019.94000000002
2019-03-12,101027.19000000002
2019-03-13,101079.39000000001
2019-03-14,101148.99
2019-03-15,101227.63
2019-03-18,101155.93000000001
2019-03-19,101239.09000000001
2019-03-20,101095.52000000002
2019-03-21,101142.47000000002
2019-03-22,100543.25000000003
2019-03-25,100417.85000000002
2019-03-26,100346.30000000002
2019-03-27,100477.25000000001
2019-03-28,100587.75000000001
2019-03-29,100702.00000000001
2019-04-01,101018.65000000002
2019-04-02,100976.50000000003
2019-04-03,101530.87500000003
2019-04-04,101063.65000000002
2019-04-05,101324.15000000002
2019-04-08,101323.27500000002
2019-04-09,101189.82500000003
2019-04-10,101401.25000000003
2019-04-11,101432.85000000002
2019-04-12,101686.32500000001
2019-04-15,101658.60000000002
2019-04-16,101690.12500000003
2019-04-17,101874.07500000001
2019-04-18,102278.35000000002
2019-04-23,102174.25000000003
2019-04-24,102486.35000000002
2019-04-25,102780.02500000002
2019-04-26,102566.37500000001
2019-04-29,102550.06500000002
2019-04-30,102267.22500000002
2019-05-02,101933.69000000002
2019-05-03,101829.52500000002
2019-05-06,101447.32500000001
2019-05-07,101309.07500000003
2019-05-08,101361.87500000001
2019-05-09,101159.07500000003
2019-05-10,101159.07500000003
2019-05-13,101159.07500000003
2019-05-14,101159.07500000003
2019-05-15,101159.07500000003
2019-05-16,101159.07500000003
2019-05-17,101159.07500000003
2019-05-20,101159.07500000003
2019-05-21,101159.07500000003
2019-05-22,101159.07500000003
2019-05-23,100993.71500000003
2019-05-24,101063.39500000003
2019-05-27,101083.15500000003
2019-05-28,101068.59500000003
2019-05-29,100860.59500000003
2019-05-31,100885.55500000004
2019-06-03,100873.07500000003
2019-06-04,100902.19500000004
2019-06-05,100899.07500000003
2019-06-07,100995.79500000003
2019-06-10,100901.15500000003
2019-06-11,101035.03500000003
2019-06-12,101074.40500000003
2019-06-13,101134.42500000003
2019-06-14,100824.60000000002
2019-06-17,100793.75500000003
2019-06-18,101170.87500000003
2019-06-19,101224.10500000003
2019-06-20,101618.28000000003
2019-06-24,101391.43000000002
2019-06-25,101411.50000000003
2019-06-26,101366.68000000002
2019-06-27,101373.98000000003
2019-06-28,101650.95500000002
