Ticker,EntryDate,ExitDate,EntryPx,ExitPx,Shares,PnL,Return,Reason
SEB A,2019-01-30,2019-02-20,95.24,94.96,52.0,-14.55999999999949,-0.0029399412011760218,RuleExit
ATCO A,2019-01-30,2019-03-06,59.125,61.9375,84.0,236.25,0.04756871035940802,RuleExit
VOLV B,2019-01-31,2019-03-07,130.05,134.7,38.0,176.6999999999989,0.035755478662052864,RuleExit
INVE B,2019-02-01,2019-03-07,100.625,101.975,49.0,66.14999999999964,0.013416149068322891,RuleExit
SAND,2019-02-20,2019-03-07,152.4,149.0,26.0,-88.40000000000009,-0.022309711286089273,RuleExit
ERIC B,2019-03-14,2019-03-22,88.36,86.84,57.0,-86.63999999999942,-0.017202354006337628,RuleExit
VOLV B,2019-03-19,2019-03-25,141.0,133.0,35.0,-280.0,-0.05673758865248224,RuleExit
SAND,2019-03-19,2019-03-26,157.15,147.9,28.0,-259.0,-0.05886096086541526,RuleExit
ASSA B,2019-02-01,2019-04-10,170.75,206.4,29.0,1033.8500000000004,0.2087847730600294,TakeProfit
ASSA B,2019-04-10,2019-04-26,206.4,203.0,24.0,-81.60000000000036,-0.016472868217054293,RuleExit
SAAB B,2019-04-26,2019-05-03,83.63,75.98,57.0,-436.0499999999993,-0.09147435130933868,StopLoss
VOLV B,2019-03-28,2019-05-06,141.15,145.7,35.0,159.25,0.03223521076868563,RuleExit
SAND,2019-04-02,2019-05-06,158.55,167.95,25.0,234.99999999999955,0.05928729107537034,RuleExit
ATCO A,2019-04-01,2019-05-07,64.975,70.4,77.0,417.72500000000036,0.08349365140438647,RuleExit
INVE B,2019-03-18,2019-05-09,105.025,106.7,48.0,80.39999999999964,0.015948583670554628,RuleExit
ERIC B,2019-05-22,2019-06-14,96.74,89.28,52.0,-387.91999999999916,-0.07711391358279918,RuleExit
ATCO A,2019-06-13,2019-07-05,71.225,72.75,70.0,106.75,0.02141102141102147,RuleExit
SAND,2019-06-18,2019-07-05,166.0,164.5,29.0,-43.5,-0.009036144578313254,RuleExit
SWED A,2019-07-05,2019-07-17,146.65,134.75,34.0,-404.60000000000036,-0.08114558472553701,StopLoss
SAAB B,2019-06-10,2019-07-30,72.95,76.4,69.0,238.05000000000018,0.047292666209732825,RuleExit
SEB A,2019-07-05,2019-07-30,90.32,91.68,52.0,70.72000000000116,0.015057573073516517,RuleExit
ASSA B,2019-06-10,2019-08-02,198.25,217.9,25.0,491.25,0.09911727616645649,RuleExit
INVE B,2019-06-13,2019-08-02,110.025,113.75,45.0,167.625,0.03385594183140195,RuleExit
ATCO A,2019-08-01,2019-08-02,75.0,71.525,67.0,-232.82499999999982,-0.046333333333333226,RuleExit
VOLV B,2019-09-04,2019-09-23,135.55,139.75,37.0,155.39999999999964,0.030984876429361874,RuleExit
