Date,Open,High,Low,Close,Volume
2020-01-02,225.0,230.1,224.8,228.3,0
2020-01-03,225.7,227.8,224.7,227.7,0
2020-01-07,228.7,230.8,228.7,229.9,0
2020-01-08,227.7,230.5,226.2,230.4,0
2020-01-09,231.9,232.4,229.5,229.9,0
2020-01-10,230.0,230.2,228.4,228.6,0
2020-01-13,229.1,229.4,226.0,226.5,0
2020-01-14,225.0,226.4,223.1,225.5,0
2020-01-15,225.9,227.9,225.3,226.0,0
2020-01-16,225.9,227.2,224.7,227.2,0
2020-01-17,228.2,229.4,227.5,227.6,0
2020-01-20,227.5,228.7,226.5,226.9,0
2020-01-21,227.1,227.5,225.0,226.9,0
2020-01-22,228.8,231.2,227.8,228.6,0
2020-01-23,227.2,227.7,225.0,225.7,0
2020-01-24,228.2,231.3,227.3,230.5,0
2020-01-27,227.5,228.1,224.2,224.4,0
2020-01-28,225.4,226.0,222.1,224.3,0
2020-01-29,225.2,227.3,224.2,227.3,0
2020-01-30,225.5,227.2,224.5,226.2,0
2020-01-31,227.9,228.0,224.0,224.8,0
2020-02-03,224.2,227.1,224.2,226.0,0
2020-02-04,226.0,231.2,225.6,230.6,0
2020-02-05,228.6,242.3,228.6,239.8,0
2020-02-06,240.8,242.7,238.3,239.0,0
2020-02-07,238.8,238.8,235.0,235.5,0
2020-02-10,235.4,235.8,233.6,234.7,0
2020-02-11,236.0,238.4,236.0,238.1,0
2020-02-12,238.5,239.8,237.2,237.8,0
2020-02-13,238.3,238.8,235.6,235.7,0
2020-02-14,235.8,236.4,234.7,235.0,0
2020-02-17,235.1,237.4,235.1,236.5,0
2020-02-18,235.8,237.1,234.6,236.0,0
2020-02-19,237.1,239.4,236.9,239.2,0
2020-02-20,239.4,241.3,238.5,238.5,0
2020-02-21,237.3,237.7,232.5,233.7,0
2020-02-24,228.6,228.7,220.8,223.0,0
2020-02-25,223.0,223.9,219.8,220.3,0
2020-02-26,217.8,222.6,213.3,222.3,0
2020-02-27,218.0,219.7,210.9,214.9,0
2020-02-28,208.4,211.4,205.8,208.2,0
2020-03-02,208.5,210.0,201.9,206.6,0
2020-03-03,209.5,212.6,206.4,206.5,0
2020-03-04,207.0,209.3,205.4,207.2,0
2020-03-05,209.5,209.7,201.4,204.1,0
2020-03-06,200.0,201.7,194.6,195.65,0
2020-03-09,180.0,187.2,176.35,183.15,0
2020-03-10,184.95,192.65,181.7,183.55,0
2020-03-11,185.0,188.75,180.4,180.9,0
