Date,Open,High,Low,Close,Volume
2020-01-02,82.42,84.18,82.42,84.0,0
2020-01-03,83.64,83.64,82.38,82.54,0
2020-01-07,83.34,84.3,82.84,83.52,0
2020-01-08,82.78,84.18,82.14,83.78,0
2020-01-09,84.78,85.08,83.94,84.04,0
2020-01-10,83.5,83.9,81.4,82.16,0
2020-01-13,83.2,84.4,83.0,83.56,0
2020-01-14,84.0,84.1,82.4,82.6,0
2020-01-15,82.6,83.24,81.76,83.24,0
2020-01-16,83.92,85.56,83.92,85.54,0
2020-01-17,85.9,86.18,85.04,85.44,0
2020-01-20,85.32,85.4,84.1,84.68,0
2020-01-21,84.64,84.84,83.42,84.36,0
2020-01-22,85.1,85.5,84.44,85.42,0
2020-01-23,85.16,85.38,84.32,84.56,0
2020-01-24,77.0,80.34,77.0,79.7,0
2020-01-27,80.0,81.48,78.68,79.1,0
2020-01-28,79.46,79.84,77.94,79.06,0
2020-01-29,79.68,79.72,78.08,78.1,0
2020-01-30,77.1,77.24,76.1,76.18,0
2020-01-31,76.36,76.56,75.14,75.76,0
2020-02-03,76.06,77.06,75.1,76.12,0
2020-02-04,76.46,78.1,76.24,78.1,0
2020-02-05,78.22,78.62,77.02,77.92,0
2020-02-06,78.54,79.38,78.04,79.2,0
2020-02-07,80.58,83.94,80.16,83.7,0
2020-02-10,84.42,84.44,82.92,83.0,0
2020-02-11,84.5,88.46,84.16,88.38,0
2020-02-12,87.36,88.82,86.96,88.38,0
2020-02-13,88.08,88.42,86.98,88.38,0
2020-02-14,88.2,88.54,87.42,88.2,0
2020-02-17,88.2,89.22,87.92,88.12,0
2020-02-18,87.56,88.02,86.96,87.6,0
2020-02-19,87.82,88.5,87.22,88.12,0
2020-02-20,87.94,88.1,87.3,87.5,0
2020-02-21,87.26,87.76,86.34,86.74,0
2020-02-24,85.02,85.18,82.6,83.56,0
2020-02-25,83.6,84.28,82.02,82.24,0
2020-02-26,81.52,82.76,79.04,82.28,0
2020-02-27,81.44,81.5,78.12,80.0,0
2020-02-28,78.32,78.42,75.64,76.68,0
2020-03-02,77.04,78.68,75.54,76.48,0
2020-03-03,76.88,78.22,76.0,76.0,0
2020-03-04,76.1,77.14,75.42,76.1,0
2020-03-05,77.0,77.1,73.78,74.92,0
2020-03-06,73.26,73.4,70.72,71.34,0
2020-03-09,66.94,69.76,66.0,69.26,0
2020-03-10,69.74,72.2,68.54,69.64,0
2020-03-11,69.9,71.16,68.42,68.82,0
2020-03-12,64.56,65.7,60.74,60.98,0
2020-03-13,62.14,69.04,61.34,65.02,0
2020-03-16,61.5,64.74,59.54,63.12,0
2020-03-17,65.2,68.88,63.06,68.06,0
2020-03-18,66.2,72.5,64.66,70.1,0
2020-03-19,69.58,75.06,67.88,75.06,0
2020-03-20,77.56,78.14,72.68,74.24,0
2020-03-23,71.38,76.14,70.02,70.56,0
2020-03-24,73.9,76.9,72.36,76.02,0
2020-03-25,78.76,78.86,73.08,76.7,0
2020-03-26,74.56,75.6,73.06,75.6,0
2020-03-27,75.9,76.28,72.7,73.76,0
2020-03-30,74.32,78.68,72.94,78.68,0
2020-03-31,81.5,82.0,78.6,81.06,0
2020-04-01,78.02,79.98,77.6,78.88,0
2020-04-02,79.84,80.92,77.98,79.2,0
2020-04-03,79.3,79.68,78.04,78.38,0
2020-04-06,80.02,81.22,79.24,79.76,0
2020-04-07,80.76,80.96,78.12,79.64,0
2020-04-08,78.8,81.94,78.62,80.88,0
2020-04-09,81.62,81.64,79.4,80.0,0
2020-04-14,81.48,82.46,80.62,82.4,0
2020-04-15,82.5,83.76,80.84,81.26,0
2020-04-16,82.16,84.24,81.5,83.72,0
2020-04-17,85.0,86.86,85.0,86.6,0
2020-04-20,86.78,86.9,84.9,86.26,0
2020-04-21,85.4,85.44,81.34,81.34,0
2020-04-22,84.0,87.14,83.16,85.22,0
2020-04-23,85.2,85.4,83.14,84.04,0
2020-04-24,83.08,83.48,81.04,81.1,0
2020-04-27,82.06,83.26,81.5,83.1,0
2020-04-28,82.86,83.28,81.62,82.18,0
2020-04-29,82.0,83.7,81.58,83.52,0
2020-04-30,84.0,85.5,82.74,85.1,0
2020-05-04,82.78,83.0,80.72,81.4,0
2020-05-05,81.94,82.44,81.1,82.44,0
2020-05-06,82.36,83.02,81.72,81.72,0
2020-05-07,82.14,82.52,81.56,82.28,0
2020-05-08,82.88,84.34,82.6,83.62,0
2020-05-11,84.0,84.82,83.02,83.72,0
2020-05-12,83.36,85.28,83.0,85.2,0
2020-05-13,84.3,84.48,82.24,82.24,0
2020-05-14,81.26,81.7,78.74,79.54,0
2020-05-15,79.54,82.76,78.92,82.06,0
2020-05-18,83.76,84.52,82.38,84.12,0
2020-05-19,84.5,84.5,82.64,83.88,0
2020-05-20,83.88,84.3,82.78,82.82,0
2020-05-22,83.12,85.42,82.48,85.24,0
2020-05-25,85.78,87.96,85.52,87.04,0
2020-05-26,87.82,87.9,85.36,85.44,0
2020-05-27,85.24,85.68,83.38,84.12,0
2020-05-28,85.0,86.34,84.16,85.94,0
2020-05-29,85.5,86.76,84.64,85.64,0
2020-06-01,87.0,87.24,85.7,86.46,0
2020-06-02,87.5,87.92,86.28,87.44,0
2020-06-03,88.38,91.34,88.38,90.92,0
2020-06-04,90.92,91.78,88.44,89.04,0
2020-06-05,89.34,89.72,87.82,88.4,0
2020-06-08,88.4,88.62,85.88,86.62,0
2020-06-09,86.62,87.1,85.28,85.28,0
2020-06-10,85.58,87.26,85.58,86.6,0
