Date,Open,High,Low,Close,Volume
2020-01-02,101.2,104.2,101.1,103.85,0
2020-01-03,103.05,103.05,102.1,102.3,0
2020-01-07,103.1,103.6,102.5,102.85,0
2020-01-08,102.0,102.0,100.9,101.5,0
2020-01-09,102.5,102.6,100.95,101.35,0
2020-01-10,101.5,101.65,100.3,100.4,0
2020-01-13,100.4,100.8,98.2,98.42,0
2020-01-14,98.5,98.76,96.82,97.06,0
2020-01-15,97.0,97.0,93.84,94.22,0
2020-01-16,94.64,95.94,94.5,95.94,0
2020-01-17,96.14,96.88,95.82,96.2,0
2020-01-20,96.4,96.52,95.74,96.0,0
2020-01-21,95.9,96.14,95.2,95.54,0
2020-01-22,95.82,96.68,95.12,95.36,0
2020-01-23,94.6,95.32,93.42,93.58,0
2020-01-24,94.68,95.4,94.32,94.46,0
2020-01-27,93.6,94.2,92.16,92.48,0
2020-01-28,92.72,95.6,92.72,95.18,0
2020-01-29,95.6,95.72,94.48,94.84,0
2020-01-30,93.78,94.6,93.38,94.02,0
2020-01-31,94.8,95.66,94.06,94.68,0
2020-02-03,94.7,95.24,94.1,94.82,0
2020-02-04,95.0,96.4,95.0,96.18,0
2020-02-05,101.9,103.0,99.3,102.05,0
2020-02-06,103.1,107.45,103.05,107.3,0
2020-02-07,107.35,109.65,105.8,109.65,0
2020-02-10,109.6,111.65,109.3,110.9,0
2020-02-11,111.5,111.9,110.75,111.75,0
2020-02-12,112.0,112.1,111.2,111.3,0
2020-02-13,110.9,111.15,109.4,110.0,0
2020-02-14,110.35,110.4,109.4,109.55,0
2020-02-17,109.0,110.0,108.95,109.4,0
2020-02-18,108.85,110.7,108.1,109.35,0
2020-02-19,110.25,112.3,109.55,112.3,0
2020-02-20,112.5,113.8,110.45,110.95,0
2020-02-21,110.6,110.6,108.75,109.65,0
2020-02-24,106.3,107.85,105.85,106.1,0
2020-02-25,106.1,107.15,103.2,103.55,0
2020-02-26,102.65,105.25,100.5,104.35,0
2020-02-27,103.0,103.2,98.52,100.15,0
2020-02-28,97.46,98.3,95.14,96.48,0
2020-03-02,98.38,98.98,94.98,97.4,0
2020-03-03,99.22,100.25,97.32,97.32,0
2020-03-04,98.42,99.9,97.02,98.38,0
2020-03-05,99.54,99.62,96.02,98.22,0
2020-03-06,96.5,97.04,94.76,95.88,0
2020-03-09,91.32,94.28,89.24,92.2,0
2020-03-10,92.84,95.3,89.5,90.5,0
2020-03-11,91.64,92.56,88.44,89.2,0
2020-03-12,85.0,86.1,78.36,78.46,0
2020-03-13,80.46,84.72,77.84,79.18,0
2020-03-16,76.26,76.46,71.8,74.66,0
2020-03-17,75.3,81.36,72.0,79.82,0
2020-03-18,77.64,81.92,74.98,76.7,0
2020-03-19,77.16,82.76,76.5,81.88,0
2020-03-20,85.86,86.66,79.5,79.5,0
2020-03-23,76.68,80.8,75.26,75.48,0
2020-03-24,78.62,80.08,75.76,78.32,0
2020-03-25,81.5,85.46,78.9,85.46,0
2020-03-26,83.0,86.14,82.16,86.06,0
2020-03-27,85.22,85.9,81.86,82.94,0
2020-03-30,82.74,82.74,78.44,79.72,0
2020-03-31,81.04,83.72,80.82,83.14,0
2020-04-01,81.0,82.68,80.52,80.6,0
2020-04-02,80.74,81.16,76.96,78.86,0
2020-04-03,79.4,79.4,76.3,76.62,0
2020-04-06,78.8,79.48,77.44,79.12,0
2020-04-07,80.6,83.46,79.44,83.46,0
2020-04-08,82.96,83.3,81.46,82.36,0
2020-04-09,83.54,83.64,81.48,82.08,0
2020-04-14,83.02,83.26,81.24,82.0,0
2020-04-15,81.6,81.6,77.12,77.26,0
2020-04-16,77.94,78.3,75.62,76.26,0
2020-04-17,78.5,79.8,77.94,79.7,0
2020-04-20,80.18,80.4,78.5,80.4,0
2020-04-21,79.82,79.88,77.84,77.84,0
2020-04-22,80.9,83.88,79.88,83.8,0
2020-04-23,84.0,84.92,82.9,84.76,0
2020-04-24,83.28,84.72,82.64,84.0,0
2020-04-27,85.5,86.36,84.78,86.34,0
2020-04-28,86.5,89.28,85.14,89.1,0
2020-04-29,89.1,93.14,88.9,93.0,0
2020-04-30,92.98,92.98,90.24,90.3,0
2020-05-04,86.7,86.7,83.6,83.96,0
2020-05-05,85.3,87.36,84.68,87.06,0
2020-05-06,86.84,87.4,85.5,85.54,0
2020-05-07,85.78,87.72,85.14,87.62,0
2020-05-08,88.08,88.66,86.98,87.44,0
2020-05-11,87.48,88.72,87.1,88.68,0
2020-05-12,88.5,89.86,87.7,89.86,0
2020-05-13,88.5,88.5,83.68,83.84,0
2020-05-14,83.28,83.78,80.64,82.3,0
2020-05-15,83.5,85.06,83.14,84.0,0
2020-05-18,85.2,87.78,85.0,87.7,0
2020-05-19,88.48,88.5,84.78,86.36,0
2020-05-20,85.64,86.94,84.9,85.86,0
2020-05-22,85.02,87.22,83.68,86.86,0
2020-05-25,87.5,87.68,85.92,86.92,0
2020-05-26,87.7,88.32,86.76,87.7,0
2020-05-27,88.28,93.44,88.1,92.06,0
2020-05-28,92.78,92.94,91.02,91.46,0
2020-05-29,90.7,91.08,88.48,89.14,0
2020-06-01,90.2,90.6,88.9,89.72,0
2020-06-02,90.0,92.42,89.66,91.8,0
2020-06-03,92.8,93.74,92.34,93.64,0
2020-06-04,92.98,93.5,91.54,93.0,0
2020-06-05,94.18,94.5,92.26,93.56,0
2020-06-08,93.56,98.2,93.56,97.08,0
2020-06-09,96.58,96.86,93.32,94.6,0
2020-06-10,95.3,97.4,94.74,96.58,0
2020-06-11,94.4,94.4,89.38,89.38,0
2020-06-12,88.0,91.4,87.88,89.12,0
2020-06-15,87.34,89.82,86.66,89.26,0
2020-06-16,91.5,92.74,89.88,92.46,0
2020-06-17,92.68,93.44,91.78,92.0,0
2020-06-18,91.94,92.24,90.56,91.74,0
2020-06-22,91.26,91.76,89.98,90.64,0
2020-06-23,91.16,93.34,90.9,91.8,0
2020-06-24,91.24,92.08,89.2,89.2,0
2020-06-25,88.2,90.58,87.88,90.58,0
2020-06-26,90.8,91.4,89.3,89.3,0
2020-06-29,89.28,91.06,88.76,91.0,0
2020-06-30,91.04,91.26,88.16,88.44,0
2020-07-01,87.8,89.3,87.38,88.54,0
2020-07-02,89.18,90.3,88.86,90.18,0
2020-07-03,90.06,90.32,89.0,89.38,0
2020-07-06,90.5,92.82,90.46,92.28,0
2020-07-07,92.0,92.22,91.02,91.14,0
2020-07-08,90.16,91.08,89.88,90.56,0
2020-07-09,91.34,91.4,88.92,88.92,0
2020-07-10,88.18,90.16,88.18,90.16,0
2020-07-13,91.2,93.02,91.0,92.6,0
2020-07-14,91.96,93.84,91.36,92.9,0
2020-07-15,94.74,94.74,90.04,90.52,0
2020-07-16,90.52,93.34,90.06,92.3,0
2020-07-17,92.56,92.56,89.92,90.44,0
2020-07-20,90.24,90.38,88.28,88.3,0
2020-07-21,88.96,89.58,88.22,88.44,0
2020-07-22,88.5,88.82,87.76,88.4,0
2020-07-23,88.64,88.98,86.82,87.18,0
2020-07-24,86.5,87.0,85.86,86.08,0
2020-07-27,86.1,86.48,85.02,85.82,0
2020-07-28,85.86,86.34,85.5,86.2,0
2020-07-29,86.36,86.64,85.66,85.96,0
2020-07-30,85.96,86.06,83.0,83.14,0
2020-07-31,83.44,84.34,82.66,82.78,0
2020-08-03,82.78,84.1,82.22,83.64,0
2020-08-04,84.16,85.08,83.72,84.06,0
2020-08-05,84.5,84.68,83.52,83.92,0
2020-08-06,84.0,84.3,83.22,83.56,0
2020-08-07,83.24,83.66,82.7,83.0,0
2020-08-10,83.74,85.56,83.5,84.86,0
2020-08-11,85.5,87.76,85.14,87.74,0
2020-08-12,87.6,88.92,87.22,88.4,0
2020-08-13,88.0,89.2,87.64,88.06,0
2020-08-14,88.0,88.0,86.68,87.68,0
2020-08-17,87.42,88.28,86.44,86.74,0
2020-08-18,86.26,87.5,85.8,86.46,0
2020-08-19,86.52,87.5,86.38,86.96,0
2020-08-20,86.22,86.6,85.74,86.2,0
2020-08-21,86.42,87.0,86.14,86.5,0
2020-08-24,87.18,88.04,86.72,87.84,0
2020-08-25,88.58,89.72,87.5,87.58,0
2020-08-26,87.34,88.32,86.96,87.56,0
2020-08-27,87.64,88.74,87.6,88.44,0
2020-08-28,89.0,89.68,87.96,88.4,0
2020-08-31,88.58,89.3,86.98,87.02,0
2020-09-01,88.22,88.24,86.44,87.0,0
2020-09-02,86.5,87.3,84.86,85.34,0
2020-09-03,86.04,86.32,83.38,83.8,0
2020-09-04,83.7,84.58,82.8,83.32,0
2020-09-07,83.86,85.4,83.5,85.2,0
2020-09-08,85.5,86.04,84.86,84.92,0
2020-09-09,84.7,86.4,84.36,86.28,0
2020-09-10,86.3,86.88,85.46,86.66,0
2020-09-11,86.6,87.08,85.44,85.64,0
2020-09-14,86.2,86.48,85.64,85.82,0
2020-09-15,85.52,86.42,81.04,81.88,0
2020-09-16,83.5,84.76,82.96,83.86,0
2020-09-17,83.0,83.06,79.22,79.22,0
2020-09-18,79.12,79.38,76.76,77.54,0
2020-09-21,77.28,77.52,74.86,74.86,0
2020-09-22,76.0,76.26,74.74,75.2,0
2020-09-23,75.14,76.54,75.02,75.06,0
2020-09-24,74.2,75.34,74.06,74.52,0
