Ticker,Strategy,TotalReturn,MaxDD,SharpeD,Trades,WinRate,PF,Risk,breakout_lookback,exit_lookback,use_trend_filter,trend_ma_window,use_rsi_filter,rsi_period,rsi_enter_min,rsi_exit_max,stop_loss_pct,take_profit_pct,trailing_stop_pct,breakeven_atr_mult,cooldown_days_after_sl
SINCH,breakout,38.805795499529005,-0.48386183966962926,1.283897688098989,39,0.6666666666666666,3.201463770380788,4,15,15,True,50,False,14,0.0,,,0.2,,0.0,0
NIBE B,breakout,3.9502768814193034,-0.19085548206053315,1.12993585812675,43,0.3953488372093023,5.474164941797537,1,15,10,True,50,False,14,0.0,,0.08,0.15,,1.0,14
EVO,breakout,5.360512994060146,-0.35077158970211997,1.1287869267936388,47,0.44680851063829785,1.7584687976659412,3,15,15,True,100,False,14,0.0,,0.05,0.15,,0.0,0
ABB,breakout,1.7216764709846508,-0.1386132526843591,0.9923659890609241,35,0.5142857142857142,2.9928806510692785,1,15,10,True,50,False,14,0.0,,0.05,0.15,,0.0,0
SAAB B,breakout,3.291605348549414,-0.21841076856274422,0.9754167996170606,18,0.4444444444444444,5.088457477053038,2,20,10,True,150,False,14,0.0,,0.05,,,0.0,14
SCA B,breakout,1.2503597898174315,-0.16419691480320098,0.9026746970707392,82,0.5853658536585366,2.315887107459916,1,15,10,True,50,False,14,0.0,70.0,,,,1.0,14
HEXA B,breakout,1.3747421487170715,-0.21987472553832466,0.8300016382734042,29,0.41379310344827586,4.241202729975309,2,15,15,True,100,False,14,0.0,,0.08,0.15,,1.0,14
SKA B,breakout,1.4088246850506212,-0.2020704032850198,0.8164815493963422,90,0.6777777777777778,2.0173048711116435,2,15,15,False,50,False,14,0.0,70.0,,,0.1,0.0,0
BOL,breakout,1.5436351837441924,-0.22444348402234493,0.7795388510313621,85,0.6588235294117647,1.925829112890052,2,20,10,True,50,False,14,0.0,70.0,0.08,,,0.0,14
ALFA,breakout,1.3431859443262448,-0.22663787083653053,0.7527673922272804,33,0.5151515151515151,1.7968376613031694,2,15,15,True,50,False,14,0.0,,0.05,0.15,,0.0,0
ATCO A,breakout,1.0018070480446548,-0.13329641082889476,0.68791349526732,31,0.5483870967741935,2.4642396587640127,1,15,5,True,150,False,14,0.0,,,,,0.0,0
SWED A,breakout,0.9174860127136608,-0.2568348537652275,0.6320908605288855,31,0.3225806451612903,2.72412014215293,2,15,15,True,100,False,14,0.0,,0.08,0.2,,1.0,0
INVE B,breakout,0.6834010909461963,-0.1958805377940167,0.5718796299924529,26,0.5,1.8497662446814096,1,15,15,True,100,False,14,0.0,,0.05,,,0.0,14
