Ticker,Name,MIC,Date,Close,Score,RSI,RSI_cross_up,MACD_cross_up,Breakout20,Vol_spike
NOKIA SEK,Nokia,,2025-09-04,43.09,0.6288,70.6,False,False,True,1.542
IAR B,I.A.R Systems,,2025-09-04,179.4,0.6,80.0,False,False,True,0.0
NETI B,Net Insight,,2025-09-04,4.845,0.5936,75.19,False,False,True,0.577
MOB,Moberg Pharma,,2025-09-04,9.5,0.5568,64.31,False,False,True,1.661
TEL2 B,Tele2 B,,2025-09-04,167.2,0.5416,74.56,False,False,True,0.141
ENRO,Eniro,,2025-09-04,0.4,0.5,30.77,False,True,False,2.0
DMYD B,Diamyd Medical,,2025-09-04,11.88,0.4028,62.05,False,False,True,0.422
CNCJO B,Concejo B,,2025-09-04,50.6,0.385,78.87,False,False,False,0.0
NOLA B,Nolato,,2025-09-04,58.4,0.3798,55.98,False,True,False,0.0
CEVI,CellaVision,,2025-09-04,169.0,0.3667,62.5,False,False,False,2.0
BORG,Björn Borg,,2025-09-04,63.4,0.3544,76.58,False,False,False,0.0
MOMENT,Moment Group,,2025-09-04,6.96,0.3455,41.54,False,True,False,0.455
MTG B,Modern Times Group B,,2025-09-04,99.2,0.33,51.74,True,True,False,0.068
ABB,ABB,,2025-09-04,648.2,0.3245,55.22,True,False,True,0.549
ATCO A,Atlas Copco A,,2025-09-04,152.55,0.3145,56.39,False,False,True,0.294
PACT,Proact IT,,2025-09-04,91.6,0.3114,50.86,True,True,False,0.0
BIOG B,BioGaia,,2025-09-04,103.2,0.3005,72.54,False,False,False,0.0
PROF B,ProfilGruppen,,2025-09-04,156.0,0.3,45.71,False,True,False,0.0
GENI,Generic Sweden,,2025-09-04,51.2,0.3,43.94,False,True,False,0.0
EWRK,eWork,,2025-09-04,113.4,0.2716,70.37,False,False,False,0.0
HM B,Hennes & Mauritz,,2025-09-04,145.05,0.2668,55.0,False,False,True,0.001
MSAB B,Micro Systemation,,2025-09-04,64.2,0.2636,69.77,False,False,False,0.0
BOL,Boliden,,2025-09-04,329.0,0.2606,54.23,False,False,True,0.043
LNFI,LN Future Invest,,2025-09-04,1.24,0.2546,54.1,True,False,False,2.0
BINERO,Binero Group,,2025-09-04,2.6,0.2303,67.27,False,False,False,0.0
CTT,CTT Systems,,2025-09-04,228.5,0.2214,56.73,False,False,False,1.317
CLA B,Cloetta,,2025-09-04,32.84,0.2161,66.21,False,False,False,0.0
ALIV SDB,Autoliv,,2025-09-04,1171.0,0.2143,66.07,False,False,False,0.0
AZN,AstraZeneca,,2025-09-04,1554.0,0.2042,65.31,False,False,False,0.0
TREL B,Trelleborg,,2025-09-04,365.0,0.2037,60.44,False,False,False,0.645
RO,Rolling Optics,,2025-09-04,1.11,0.2,46.05,False,False,False,2.0
CCC,Cavotec,,2025-09-04,15.05,0.2,50.0,False,False,True,0.0
ITAB,ITAB Shop Concept,,2025-09-04,17.44,0.1882,56.22,False,False,False,1.053
NEWA B,New Wave,,2025-09-04,109.3,0.1772,63.29,False,False,False,0.0
TIETOS,TietoEVRY,,2025-09-04,173.5,0.1707,62.8,False,False,False,0.0
ERIC B,Ericsson B,,2025-09-04,75.52,0.157,59.14,False,False,False,0.351
HMS,HMS Networks,,2025-09-04,442.0,0.1547,61.6,False,False,False,0.0
ELAN B,Elanders,,2025-09-04,56.2,0.1458,60.94,False,False,False,0.0
HUFV A,Hufvudstaden A,,2025-09-04,122.7,0.1454,58.28,False,False,False,0.35
SVED B,Svedbergs,,2025-09-04,57.3,0.1449,60.87,False,False,False,0.0
AAK,AAK,,2025-09-04,264.0,0.1402,60.51,False,False,False,0.0
VBG B,VBG Group,,2025-09-04,290.4,0.1342,60.07,False,False,False,0.0
ANOD B,Addnode,,2025-09-04,112.0,0.1333,60.0,False,False,False,0.0
DURC B,Duroc,,2025-09-04,16.7,0.1333,60.0,False,False,False,0.0
SECT B,Sectra,,2025-09-04,327.4,0.1286,29.15,False,False,False,1.286
ORRON,Orrön Energy,,2025-09-04,4.334,0.125,59.37,False,False,False,0.0
ALFA,Alfa Laval,,2025-09-04,427.7,0.1207,53.52,False,False,False,0.737
HPOL B,Hexpol,,2025-09-04,82.35,0.1161,42.47,False,False,False,1.161
XANO B,XANO Industri,,2025-09-04,58.3,0.1133,25.0,False,False,False,1.133
TELIA,Telia Company,,2025-09-04,35.7,0.1116,55.52,False,False,False,0.379
KINV B,Kinnevik B,,2025-09-04,80.88,0.1084,30.39,False,False,False,1.084
EPEN,Ependion,,2025-09-04,125.8,0.1057,57.93,False,False,False,0.0
SKIS B,SkiStar,,2025-09-04,157.3,0.1033,56.58,True,False,False,0.156
OEM B,OEM International,,2025-09-04,126.0,0.1028,29.93,False,False,False,1.028
