Ticker,Name,MIC,Date,Close,Score,RSI,RSI_cross_up,MACD_cross_up,Breakout20,Vol_spike
ORX,Orexo,,2025-09-05,23.35,0.9723,70.42,True,True,True,2.0
SES,Scandinavian Enviro,,2025-09-05,0.999,0.7892,79.19,False,False,True,2.0
NETI B,Net Insight,,2025-09-05,5.05,0.7058,77.93,False,False,True,1.335
AFRY,AFRY,,2025-09-05,152.5,0.5587,61.81,True,True,False,1.013
HM B,Hennes & Mauritz,,2025-09-05,145.55,0.5554,54.16,False,True,True,0.0
JLT,JLT Mobile,,2025-09-05,1.94,0.5143,57.41,True,True,False,1.156
ZENI,Zenicor Medical,,2025-09-05,2.5,0.5,46.43,False,True,False,2.0
NOKIA SEK,Nokia,,2025-09-05,42.65,0.4903,68.95,False,False,True,0.377
BLICK,Blick Global,,2025-09-05,1.11,0.4806,80.34,False,False,False,0.806
ANOD B,Addnode,,2025-09-05,115.0,0.4679,70.09,False,False,True,0.0
NANOC B,NanoCap,,2025-09-05,6.5,0.4609,69.57,False,False,False,2.0
ASSA B,Assa Abloy,,2025-09-05,342.1,0.4488,59.77,False,False,True,1.186
CLEM,Clemondo,,2025-09-05,10.7,0.4456,68.42,False,False,True,0.0
IAR B,I.A.R Systems,,2025-09-05,179.0,0.4222,66.67,False,False,True,0.0
KAPIAB,Kallebäck Property,,2025-09-05,202.0,0.4182,63.64,False,False,True,0.364
HEXA B,Hexagon,,2025-09-05,110.1,0.4117,57.39,True,False,True,1.132
HEART,Scandinavian Real Heart,,2025-09-05,19.25,0.4,83.7,False,False,False,0.0
INDT,Indutrade,,2025-09-05,236.2,0.3976,52.82,True,True,False,0.6
NOLA B,Nolato,,2025-09-05,59.65,0.3928,64.46,False,False,True,0.0
DMYD B,Diamyd Medical,,2025-09-05,12.14,0.3867,64.0,False,False,True,0.0
EAST,Eastnine,,2025-09-05,46.8,0.3833,56.25,True,True,False,0.0
ATCO A,Atlas Copco A,,2025-09-05,155.8,0.3742,62.36,False,False,True,0.094
HIFA B,Hifab,,2025-09-05,3.32,0.3733,54.29,True,False,True,1.162
CNCJO B,Concejo B,,2025-09-05,50.6,0.3659,77.44,False,False,False,0.0
TREL B,Trelleborg,,2025-09-05,369.8,0.3639,62.29,False,False,True,0.0
TELIA,Telia Company,,2025-09-05,35.8,0.3625,54.69,False,True,False,0.0
