Date,Open,High,Low,Close,Volume
2024-01-10,248.9,250.25,247.25,248.35,1853314
2024-01-11,250.0,251.55,246.05,247.05,2759434
2024-01-12,248.0,250.45,246.9,249.9,2605473
2024-01-15,251.1,252.65,243.7,248.25,3976917
2024-01-16,247.25,248.6,245.6,247.7,2376447
2024-01-17,245.3,247.3,244.45,246.65,2472581
2024-01-18,246.75,248.9,245.35,247.3,2428259
2024-01-19,248.0,249.1,244.9,245.4,2669349
2024-01-22,246.45,248.1,244.4,245.6,3932184
2024-01-23,247.05,248.4,244.7,247.05,3024903
2024-01-24,249.45,250.95,247.5,250.1,2552169
2024-01-25,249.75,250.95,247.2,250.95,3656843
2024-01-26,238.8,254.3,236.5,253.4,9320555
2024-01-29,253.65,253.75,247.1,247.15,5904982
2024-01-30,248.4,249.6,246.9,249.05,4785622
2024-01-31,249.0,251.2,248.85,249.9,4663224
2024-02-01,249.9,254.85,249.25,253.25,3566787
2024-02-02,256.0,258.25,255.35,257.35,3079512
2024-02-05,258.4,258.5,252.9,252.9,2394147
2024-02-06,255.1,258.0,253.9,257.8,4037306
2024-02-07,258.0,259.6,256.85,259.2,2656694
2024-02-08,259.6,262.1,259.55,260.9,2273808
2024-02-09,261.5,264.55,259.5,260.55,3038379
2024-02-12,262.0,263.3,261.45,263.2,2011150
2024-02-13,263.5,264.55,262.8,264.55,2589919
2024-02-14,263.95,266.55,263.7,265.85,2396912
2024-02-15,267.35,271.1,267.15,269.25,3035780
2024-02-16,270.55,271.4,268.9,270.0,3118134
2024-02-19,269.5,271.15,269.25,270.85,2000523
2024-02-20,270.25,274.35,270.05,274.0,2521462
2024-02-21,274.1,276.2,272.5,276.2,2491658
2024-02-22,278.05,280.15,277.15,278.3,3004067
2024-02-23,279.2,282.05,278.95,280.8,2625224
2024-02-26,280.8,282.6,279.5,280.5,2253278
2024-02-27,280.5,283.3,279.9,281.35,2476714
2024-02-28,281.35,286.3,281.35,285.7,2416571
2024-02-29,286.0,286.5,283.6,285.1,3960848
2024-03-01,288.5,295.6,288.45,289.95,4529340
2024-03-04,290.0,291.1,288.35,289.45,2037980
2024-03-05,290.5,294.15,290.2,293.0,3225755
2024-03-06,292.6,294.65,291.65,294.35,2408935
2024-03-07,293.0,296.8,292.35,294.6,1987322
2024-03-08,295.0,298.4,294.0,298.0,2409770
2024-03-11,296.85,298.45,295.1,296.35,2056873
2024-03-12,297.6,303.65,296.2,302.65,4423798
2024-03-13,302.5,304.65,300.75,304.25,2609873
2024-03-14,304.25,306.9,303.45,305.1,3019222
2024-03-15,304.85,311.3,304.8,307.85,5926881
2024-03-18,309.05,309.8,305.0,305.75,2977403
2024-03-19,305.7,307.1,302.9,306.2,4363161
2024-03-20,306.2,308.25,304.3,306.9,3121634
2024-03-21,309.0,312.25,308.6,312.25,3749917
2024-03-22,312.25,316.35,311.7,314.95,2847501
2024-03-25,315.05,316.85,312.8,314.85,2584962
2024-03-26,315.1,318.9,314.7,318.0,3423456
2024-03-27,318.3,321.1,317.05,317.95,4056827
2024-03-28,300.0,301.35,290.1,290.1,6097699
2024-04-02,291.0,295.4,288.8,292.4,4711601
2024-04-03,290.0,290.0,283.5,287.6,4375661
2024-04-04,288.4,291.4,287.8,290.5,2346966
2024-04-05,288.1,290.8,286.3,290.6,2702154
2024-04-08,293.6,295.7,292.6,293.7,2699464
2024-04-09,294.0,295.3,290.6,291.1,2991085
2024-04-10,292.9,293.5,287.0,291.4,2563998
2024-04-11,287.0,287.5,277.9,283.0,4883259
2024-04-12,285.7,288.6,283.1,284.4,3340538
2024-04-15,284.4,290.5,284.3,287.0,2814699
2024-04-16,284.6,284.6,280.6,282.5,4054978
2024-04-17,291.3,292.9,283.0,288.1,4797897
2024-04-18,293.9,295.4,285.9,292.3,4049958
2024-04-19,275.0,281.8,275.0,280.2,11952420
2024-04-22,281.4,283.0,278.8,282.6,3666219
2024-04-23,283.6,286.0,280.3,282.6,5794591
2024-04-24,283.4,284.7,280.8,282.7,3563861
2024-04-25,282.0,283.6,275.2,277.1,3455729
2024-04-26,279.3,282.4,278.3,281.3,2883612
2024-04-29,281.7,285.6,281.7,284.5,2616132
2024-04-30,285.0,285.9,283.0,283.4,1746439
2024-05-02,281.0,281.1,276.4,277.5,3981479
2024-05-03,275.0,275.3,269.2,271.5,5955017
2024-05-06,272.9,276.4,271.7,274.7,2525634
2024-05-07,275.9,277.7,272.0,277.7,2901931
2024-05-08,277.9,279.9,277.0,277.0,2000400
2024-05-10,280.3,284.6,278.3,282.6,3290108
2024-05-13,282.6,283.3,281.5,283.0,2134243
2024-05-14,283.0,284.6,282.4,284.0,2204068
2024-05-15,285.0,287.7,283.3,286.9,2904537
2024-05-16,287.6,288.5,283.6,283.9,2483410
2024-05-17,283.0,284.9,281.8,284.2,2264780
2024-05-20,284.8,287.4,284.0,287.4,1946738
2024-05-21,287.0,287.2,283.2,284.7,2226142
2024-05-22,285.0,286.8,283.5,285.3,2273581
2024-05-23,285.8,288.6,285.1,286.4,2496784
2024-05-24,286.0,287.0,283.4,286.4,1609181
2024-05-27,287.1,287.1,285.0,285.5,1371352
2024-05-28,286.2,287.2,282.8,284.5,2217942
2024-05-29,283.8,288.4,281.5,281.8,2140456
2024-05-30,282.0,284.3,281.2,283.6,1795962
2024-05-31,284.3,284.4,281.0,282.0,16501087
2024-06-03,284.9,289.2,284.1,285.2,3030906
2024-06-04,285.1,285.1,276.7,278.6,2958827
2024-06-05,281.2,286.8,280.6,285.9,3006324
2024-06-07,286.6,286.6,272.7,275.2,5455027
2024-06-10,273.1,273.8,270.7,272.4,3462313
2024-06-11,273.6,275.6,269.6,271.1,2818905
2024-06-12,272.0,275.6,271.8,274.1,2855099
2024-06-13,273.9,273.9,268.7,268.7,5249990
2024-06-14,269.2,269.6,262.1,263.6,4486521
2024-06-17,265.0,266.3,263.3,264.2,2770815
2024-06-18,266.5,268.2,263.1,265.1,2798872
2024-06-19,264.7,266.7,263.7,264.9,1992148
2024-06-20,265.3,269.5,265.3,267.9,4118337
2024-06-24,264.8,271.4,264.5,271.3,2488283
2024-06-25,270.0,270.5,267.7,267.7,1991965
2024-06-26,268.4,270.3,266.7,268.3,2719631
2024-06-27,268.2,269.6,266.6,267.1,2097349
2024-06-28,269.5,272.6,268.7,271.1,3004837
2024-07-01,273.8,275.3,272.1,273.4,2015109
2024-07-02,271.7,272.1,265.7,266.5,2827335
2024-07-03,267.5,268.9,264.5,267.2,3038087
2024-07-04,268.7,271.4,268.2,268.6,1533077
2024-07-05,269.0,272.1,265.8,266.4,1786401
2024-07-08,267.0,267.9,264.2,266.5,2772579
2024-07-09,266.3,266.5,262.6,263.2,1863898
2024-07-10,263.7,266.4,262.6,266.4,1849846
2024-07-11,268.0,269.6,266.4,269.6,2396118
2024-07-12,269.6,275.9,269.3,275.9,2740091
2024-07-15,274.1,274.2,272.0,273.2,2009251
2024-07-16,272.0,275.7,271.1,275.5,2059086
2024-07-17,270.8,272.3,264.4,271.2,4628296
2024-07-18,276.0,292.5,271.7,287.2,7284469
2024-07-19,287.2,289.8,281.2,281.4,2992961
2024-07-22,283.1,288.7,283.0,286.3,2837376
2024-07-23,286.5,288.8,278.4,281.1,3387608
2024-07-24,277.2,278.3,270.1,270.6,5150628
2024-07-25,268.0,270.4,266.3,270.4,2078694
2024-07-26,270.4,273.4,270.3,272.4,1574295
2024-07-29,273.3,274.9,270.2,271.1,1639639
2024-07-30,271.9,275.1,271.3,273.1,2496087
2024-07-31,275.0,276.7,272.7,273.3,2482106
2024-08-01,268.7,270.3,264.2,266.3,3551987
2024-08-02,264.0,264.1,257.7,259.5,4113298
2024-08-05,244.4,252.4,243.7,251.8,5611547
2024-08-06,254.3,255.5,248.0,250.2,3104037
2024-08-07,252.1,256.3,251.5,254.1,2190590
2024-08-08,252.2,256.6,250.5,256.4,2191837
2024-08-09,256.6,259.0,255.2,256.0,1663717
2024-08-12,257.4,258.3,255.1,255.7,1332604
2024-08-13,256.9,257.8,255.1,257.0,1199718
2024-08-14,258.2,260.3,258.2,259.4,1286300
2024-08-15,260.3,264.8,259.5,263.6,1780364
2024-08-16,264.0,266.1,261.9,264.4,1995657
2024-08-19,264.4,265.4,263.5,264.1,1840369
2024-08-20,265.0,265.5,263.2,264.2,2391546
2024-08-21,264.0,265.7,262.0,263.2,1816367
2024-08-22,263.4,265.5,263.0,264.5,1647882
2024-08-23,264.9,268.7,264.8,268.0,1745228
2024-08-26,267.5,269.5,266.5,268.5,1322140
2024-08-27,268.5,269.1,265.7,266.2,1632865
2024-08-28,266.7,268.4,265.5,266.7,1502985
2024-08-29,267.0,270.6,266.8,269.5,1670739
2024-08-30,274.6,274.6,271.0,272.6,4259831
2024-09-02,272.6,273.4,267.7,269.2,2129499
2024-09-03,269.0,271.6,265.1,265.9,2312983
2024-09-04,261.0,264.0,259.6,260.9,2510863
2024-09-05,260.2,261.8,257.3,257.4,1949026
2024-09-06,256.8,259.1,254.2,254.7,2120947
2024-09-09,255.2,256.9,253.1,254.9,1757206
2024-09-10,254.6,254.6,248.7,248.7,2922670
2024-09-11,249.0,253.0,248.5,249.9,1846046
2024-09-12,253.6,256.2,250.4,252.0,1712604
